3.100000000000000000e+01 2.439783496818039112e+03 2.496476709585613662e+03 2.468130103201826387e+03
3.200000000000000000e+01 2.363492423445260101e+03 2.435945349775474369e+03 2.399718886610367008e+03
3.300000000000000000e+01 2.291845181186487025e+03 2.362566294959564402e+03 2.327205738073025714e+03
3.400000000000000000e+01 2.224376969882480353e+03 2.293050455190131288e+03 2.258713712536306048e+03
3.500000000000000000e+01 2.160779877469740313e+03 2.227505642140694363e+03 2.194142759805217338e+03
3.600000000000000000e+01 2.100715782611265240e+03 2.165620016603258591e+03 2.133167899607261916e+03
3.700000000000000000e+01 2.043915076923152583e+03 2.107064233522151426e+03 2.075489655222651891e+03
3.800000000000000000e+01 1.990086818994801433e+03 2.051568994231686702e+03 2.020827906613244068e+03
3.900000000000000000e+01 1.939421978536992128e+03 1.998817553707365505e+03 1.969119766122178817e+03
4.000000000000000000e+01 1.893287598056729848e+03 1.948832397289457731e+03 1.921059997673093676e+03
4.100000000000000000e+01 1.844822648108527119e+03 1.897092426800901876e+03 1.870957537454714384e+03
4.200000000000000000e+01 1.800704838136879971e+03 1.855401151128957508e+03 1.828052994632918853e+03
4.300000000000000000e+01 1.758502616459546516e+03 1.812403700443330308e+03 1.785453158451438412e+03
4.400000000000000000e+01 1.718500545808982451e+03 1.771652054260950536e+03 1.745076300034966607e+03
4.500000000000000000e+01 1.680277149941044627e+03 1.732243356624856688e+03 1.706260253282950544e+03
4.600000000000000000e+01 1.643714669061064569e+03 1.694580548107082450e+03 1.669147608584073623e+03
4.700000000000000000e+01 1.608707160957704673e+03 1.658487607016414131e+03 1.633597383987059402e+03
4.800000000000000000e+01 1.575879322577653738e+03 1.623908019991866240e+03 1.599893671284759876e+03
4.900000000000000000e+01 1.542978083691545862e+03 1.590740002621656458e+03 1.566859043156601274e+03
5.000000000000000000e+01 1.512437470070563222e+03 1.558897337559161997e+03 1.535667403814862610e+03
5.100000000000000000e+01 1.484775866772249174e+03 1.528313663247094837e+03 1.506544765009672119e+03
5.200000000000000000e+01 1.457060158062338360e+03 1.498894911428748173e+03 1.477977534745543380e+03
5.300000000000000000e+01 1.429753331561631967e+03 1.470197715419434189e+03 1.449975523490533078e+03
5.400000000000000000e+01 1.405712713589053465e+03 1.443315669617680442e+03 1.424514191603366953e+03
5.500000000000000000e+01 1.377719193202893393e+03 1.416848400371756497e+03 1.397283796787324945e+03
5.600000000000000000e+01 1.355430366720965594e+03 1.391463780027273515e+03 1.373447073374119555e+03
5.700000000000000000e+01 1.331191260957357599e+03 1.366043011936131052e+03 1.348617136446744325e+03
5.800000000000000000e+01 1.306967007003390790e+03 1.343220285586270847e+03 1.325093646294830705e+03
5.900000000000000000e+01 1.285020460519251174e+03 1.320563965774290409e+03 1.302792213146770791e+03
6.000000000000000000e+01 1.265073216518141862e+03 1.298808969573481818e+03 1.281941093045811840e+03
6.100000000000000000e+01 1.243650147614528350e+03 1.277486875195902940e+03 1.260568511405215759e+03
6.200000000000000000e+01 1.224739918802710690e+03 1.256694448360612341e+03 1.240717183581661629e+03
6.300000000000000000e+01 1.204535627621300364e+03 1.236585673788393706e+03 1.220560650704846921e+03
6.400000000000000000e+01 1.186773561978957559e+03 1.217023795378130444e+03 1.201898678678544002e+03
6.500000000000000000e+01 1.167784403273996304e+03 1.198141044594035748e+03 1.182962723934016140e+03
6.600000000000000000e+01 1.150594172560184916e+03 1.178487360045385913e+03 1.164540766302785414e+03
6.700000000000000000e+01 1.133781883265036186e+03 1.160896667319817652e+03 1.147339275292426919e+03
6.800000000000000000e+01 1.117620433807092240e+03 1.143498559422757808e+03 1.130559496614925138e+03
6.900000000000000000e+01 1.101439969716609539e+03 1.126365216892305625e+03 1.113902593304457696e+03
7.000000000000000000e+01 1.085955115267852534e+03 1.109854289406068119e+03 1.097904702336960327e+03
7.100000000000000000e+01 1.070789449255379395e+03 1.094292280779880230e+03 1.082540865017629812e+03
7.200000000000000000e+01 1.056096336572041309e+03 1.079006612207998842e+03 1.067551474390020076e+03
7.300000000000000000e+01 1.041890658017984833e+03 1.065474977999142311e+03 1.053682818008563572e+03
7.400000000000000000e+01 1.028033181022858344e+03 1.049958304365259210e+03 1.038995742694058663e+03
7.500000000000000000e+01 1.014618914978823341e+03 1.036961820112496298e+03 1.025790367545659819e+03
7.600000000000000000e+01 1.001309003443689107e+03 1.022148964728357896e+03 1.011728984086023502e+03
7.700000000000000000e+01 9.887818100760350717e+02 1.008497811631143236e+03 9.986398108535890970e+02
7.800000000000000000e+01 9.762933189115047981e+02 9.954265063353916503e+02 9.858599126234482810e+02
7.900000000000000000e+01 9.652651996218868362e+02 9.840192481267830544e+02 9.746422238743349453e+02
